"Gene Symbol","MGI Gene Id","# Phenotype Hits","Phenotype Hits"
"Adora2b","MGI:99403","4","increased fasting circulating glucose level::increased circulating alkaline phosphatase level::convulsive seizures::decreased circulating glucose level"
"Adora2a","MGI:99402","8","increased fasting circulating glucose level::increased circulating alanine transaminase level::decreased lymphocyte cell number::decreased hemoglobin content::decreased lean body mass::increased circulating glucose level::increased circulating aspartate transaminase level::increased total body fat amount"
"Rrp1","MGI:1203500","3","preweaning lethality, complete penetrance::decreased body temperature::embryonic lethality prior to organogenesis"
"Ccdc65","MGI:2146001","2","hydrometra::preweaning lethality, incomplete penetrance"
"Hesx1","MGI:96071","6","preweaning lethality, complete penetrance::abnormal facial morphology::abnormal head shape::anophthalmia::cleft palate::facial cleft"
"Vps35","MGI:1890467","3","preweaning lethality, complete penetrance::abnormal gait::abnormal retina morphology"
"Psme1","MGI:1096367","1","abnormal kidney morphology"
"Vps36","MGI:1917410","4","preweaning lethality, complete penetrance::edema::prenatal lethality::hemorrhage"
"Elk1","MGI:101833","2","increased circulating insulin level::increased heart weight"
"Cyb561d2","MGI:1929280","2","abnormal spleen morphology::abnormal eye posterior chamber depth"
"Elk3","MGI:101762","3","increased circulating cholesterol level::increased circulating alkaline phosphatase level::increased circulating HDL cholesterol level"
"Rrp8","MGI:1914251","5","decreased coping response::embryonic growth retardation::preweaning lethality, incomplete penetrance::decreased fasting circulating glucose level::abnormal embryo size"
"Vps29","MGI:1928344","2","preweaning lethality, complete penetrance::abnormal forebrain development"
"Ipo11","MGI:2442377","6","preweaning lethality, complete penetrance::increased fasting circulating glucose level::embryonic lethality prior to tooth bud stage::decreased circulating iron level::decreased circulating glucose level::abnormal lens morphology"
"Mtap","MGI:1914152","17","small liver::preweaning lethality, complete penetrance::abnormal liver morphology::abnormal thymus morphology::enlarged spleen::abnormal spleen morphology::abnormal visceral yolk sac morphology::abnormal chorioallantoic fusion::abnormal skin morphology::enlarged thymus::enlarged lymph nodes::abnormal lymph node morphology::embryonic growth retardation::abnormal allantois morphology::enlarged heart::abnormal vitelline vasculature morphology::abnormal heart morphology"
"Abcb6","MGI:1921354","1","abnormal vibrissa morphology"
"Ccdc59","MGI:1289302","3","preweaning lethality, complete penetrance::decreased mean corpuscular volume::embryonic lethality prior to organogenesis"
"Abcb4","MGI:97569","19","increased monocyte cell number::decreased circulating HDL cholesterol level::increased circulating alkaline phosphatase level::decreased mean corpuscular hemoglobin::increased circulating alanine transaminase level::decreased circulating glucose level::decreased hemoglobin content::increased spleen weight::increased neutrophil cell number::increased circulating potassium level::thrombocytosis::increased red blood cell distribution width::increased circulating creatinine level::decreased mean corpuscular hemoglobin concentration::increased circulating bilirubin level::increased lymphocyte cell number::increased circulating aspartate transaminase level::increased leukocyte cell number::increased basophil cell number"
